selling_price,year,km_driven,fuel,seller_type,transmission,owners,kmpl,engine_cc,power_bhp,seats
925000,2018,28900,Petrol,Dealer,Manual,1,17.8,1497,117.3,5
425000,2013,86300,Petrol,Dealer,Manual,1,16.8,1497,116.3,5
675000,2018,23300,Petrol,Dealer,Automatic,1,18.5,1197,83.14,5
819999,2018,32600,Diesel,Dealer,Manual,1,24.3,1248,88.5,5
390000,2018,10300,Petrol,Dealer,Manual,1,23.95,998,67.05,5
1500000,2014,77000,Diesel,Dealer,Manual,1,12.55,2982,168.5,7
700000,2013,99000,Diesel,Dealer,Manual,1,12.99,2494,100,7
1450000,2014,27800,Diesel,Dealer,Automatic,2,14.8,2143,120.7,5
425000,2015,49800,Diesel,Dealer,Manual,1,24.7,1498,98.63,5
1090000,2013,151000,Diesel,Dealer,Manual,1,13.5,2477,175.56,7
600000,2015,54700,Diesel,Dealer,Manual,1,26,1498,98.6,5
850000,2018,64000,Petrol,Dealer,Manual,1,20.65,1462,103.25,5
525000,2015,63000,Diesel,Dealer,Manual,1,27.3,1498,98.6,5
1650000,2016,127700,Diesel,Dealer,Automatic,2,11.36,2755,171.5,7
950000,2016,99000,Diesel,Dealer,Manual,1,12.99,2494,100.6,7
1750000,2013,33900,Diesel,Dealer,Automatic,2,17.68,1968,174.33,5
1590000,2018,25000,Petrol,Dealer,Automatic,1,14.28,1798,138.03,5
1689999,2013,50000,Diesel,Dealer,Automatic,1,18.53,1968,187.74,5
1425000,2013,59000,Diesel,Dealer,Automatic,1,14.84,2143,170,5
265000,2011,120000,Diesel,Individual,Manual,1,21.12,1248,88.8,5
190000,2011,110000,Petrol,Individual,Manual,3,20.36,1197,78.9,5
425000,2013,60000,Diesel,Individual,Manual,1,21.27,1396,88.76,5
630000,2015,147000,Diesel,Individual,Manual,2,26.59,1248,74,5
600000,2017,25000,Petrol,Individual,Manual,3,18.16,1196,86.8,5
650000,2019,30000,Petrol,Individual,Manual,1,21.4,1197,83.1,5
540000,2016,40000,Diesel,Individual,Manual,1,22,1498,108.495,5
630000,2015,135000,Diesel,Individual,Manual,1,25.1,1498,98.6,5
448000,2018,30000,Petrol,Individual,Automatic,1,20.51,998,67,5
500000,2017,80000,Diesel,Individual,Manual,1,21.66,1498,108.62,5
745000,2016,70000,Diesel,Individual,Manual,1,24.3,1248,88.5,5
1025000,2019,9850,Diesel,Individual,Automatic,1,24.3,1248,88.5,5
235000,2011,60000,Petrol,Individual,Manual,2,20.36,1197,78.9,5
630000,2016,70000,Diesel,Individual,Manual,1,25.2,1248,74,5
1700000,2015,78000,Diesel,Individual,Manual,2,12.55,2982,168.5,7
450000,2013,120000,Diesel,Individual,Manual,2,22.9,1248,74,5
450000,2012,120000,Petrol,Individual,Manual,2,16.02,1373,93.7,7
450000,2013,170000,Diesel,Individual,Manual,1,20.54,1598,103.6,5
1200000,2016,140000,Diesel,Individual,Manual,1,12.99,2494,100.6,8
610000,2015,90000,Diesel,Individual,Manual,1,22.77,1498,98.59,5
2500000,2016,30000,Petrol,Individual,Automatic,2,15.71,1998,189,5
484999,2017,10000,Petrol,Dealer,Manual,1,23.1,998,67.04,5
275000,2016,49000,Petrol,Dealer,Manual,1,19.02,1198,67.05,5
315000,2016,32000,Petrol,Dealer,Manual,1,24.7,796,47.3,5
275000,2016,38000,Petrol,Dealer,Manual,1,24.7,796,47.3,5
290000,2012,28000,Petrol,Dealer,Manual,1,19.81,1086,68.05,5
280000,2017,32000,Petrol,Dealer,Manual,1,14,796,35,5
455000,2015,42000,Petrol,Dealer,Manual,1,16.47,1198,74,5
351000,2015,45000,Petrol,Dealer,Manual,2,19.81,1086,68.05,5
535000,2012,12000,Petrol,Dealer,Manual,2,15.04,1598,103.6,5
175000,2009,55500,Petrol,Dealer,Manual,1,18.2,998,67.1,5
525000,2013,61500,Petrol,Dealer,Manual,1,18.5,1197,82.85,5
600000,2016,150000,Diesel,Individual,Manual,1,26.59,1248,74,5
565000,2016,72000,Petrol,Dealer,Automatic,1,19.1,1197,82,5
120000,2008,68000,Petrol,Dealer,Manual,3,19.7,796,46.3,5
725000,2017,110000,Diesel,Individual,Manual,1,22.54,1396,88.73,5
185000,2009,77000,Petrol,Dealer,Manual,2,21.79,998,67.05,5
200000,2010,100000,Diesel,Individual,Manual,2,18.8,1248,90,5
615000,2019,10000,Petrol,Individual,Manual,1,21.21,1197,81.8,5
270000,2016,100000,Petrol,Individual,Manual,3,15.37,1196,73,7
610000,2018,35000,Petrol,Individual,Manual,1,21.4,1197,83.1,5
625000,2014,70000,Diesel,Individual,Automatic,2,11.79,2179,120,8
400000,2020,5000,Petrol,Individual,Manual,2,19,1194,94.68,5
866000,2017,37800,Petrol,Individual,Manual,1,17,1591,121.3,5
700000,2010,114000,Petrol,Individual,Manual,1,14.3,1798,160,5
300000,2010,48000,Petrol,Individual,Manual,1,15.8,1172,65,5
1700000,2019,32000,Diesel,Individual,Manual,1,15.1,2179,155,7
375000,2016,100000,Diesel,Individual,Manual,1,19.09,1405,69.01,5
522000,2013,150000,Diesel,Individual,Manual,2,22.32,1582,126.32,5
451999,2013,69000,Diesel,Individual,Manual,1,21.9,1396,88.76,5
300000,2009,100000,Petrol,Individual,Manual,2,14.53,1798,138.1,5
475000,2020,13000,Petrol,Individual,Manual,1,21.63,998,67.04,5
780000,2016,60000,Diesel,Individual,Manual,1,24.3,1248,88.5,5
595000,2017,40000,Petrol,Individual,Manual,1,20.85,1197,83.14,5
440000,2017,35000,Petrol,Individual,Manual,1,20.51,998,67.04,5
400000,2014,70000,Diesel,Individual,Manual,3,20.45,1461,83.8,5
1140000,2016,50000,Diesel,Individual,Manual,1,19.67,1582,126.2,5
850000,2017,76139,Diesel,Individual,Manual,1,23,1498,98.96,5
370000,2012,175000,Diesel,Individual,Manual,4,19.3,1248,73.9,5
350000,2018,25000,Petrol,Individual,Manual,1,23.01,999,67,5
360000,2015,40000,Petrol,Individual,Manual,2,23.1,998,67.04,5
105000,2008,65000,Petrol,Individual,Manual,4,19.7,796,46.3,5
625000,2013,90000,Diesel,Individual,Manual,2,20.77,1248,88.76,7
135000,2009,80000,Petrol,Individual,Manual,2,17.92,1086,62.1,5
700000,2015,110000,Diesel,Individual,Manual,2,20.77,1248,88.76,7
690000,2019,1303,Petrol,Dealer,Manual,1,17.8,1198,86.7,5
3975000,2018,31800,Diesel,Dealer,Automatic,1,17.01,1968,188,5
5150000,2019,20000,Petrol,Dealer,Automatic,1,22.37,2487,214.56,5
3200000,2017,45000,Diesel,Dealer,Automatic,1,19.33,1999,177,5
4500000,2019,21000,Diesel,Dealer,Automatic,1,12.83,1999,148.31,7
6000000,2017,37000,Diesel,Dealer,Automatic,1,13.5,2987,254.79,5
3790000,2018,29500,Diesel,Dealer,Automatic,1,22.48,1995,187.74,5
5800000,2019,7500,Diesel,Dealer,Automatic,1,16.78,1995,190,5
1864999,2018,50000,Petrol,Dealer,Automatic,1,14.67,1798,177.46,5
2700000,2016,35000,Diesel,Dealer,Automatic,1,15,2143,204,5
1750000,2019,19000,Petrol,Dealer,Automatic,1,13.96,1451,141,5
795000,2017,41000,Petrol,Dealer,Automatic,1,18,1497,117.6,5
625000,2013,39000,Petrol,Dealer,Automatic,1,14.28,1798,138.03,5
3400000,2018,22000,Diesel,Dealer,Automatic,1,18,1969,190,5
2650000,2015,53000,Diesel,Dealer,Automatic,1,12.07,2967,241.4,7
535000,2015,40000,Diesel,Dealer,Manual,1,26.21,1248,88.5,5
5850000,2017,47000,Diesel,Dealer,Automatic,1,13.5,2987,282,5
975000,2010,72200,Petrol,Dealer,Automatic,2,10.8,2497,150,5
805000,2016,49900,Petrol,Dealer,Manual,1,16.3,1797,147.5,5
2625000,2017,9000,Diesel,Dealer,Automatic,1,13.6,1999,177,5
811000,2018,11000,Petrol,Dealer,Manual,1,17,1198,108.5,5
375000,2011,49000,Petrol,Individual,Manual,1,15.04,1598,103.6,5
550000,2012,95000,Petrol,Individual,Manual,1,16.3,1797,147.5,5
645000,2016,11000,Petrol,Dealer,Automatic,1,14.3,1598,103.5,5
2550000,2018,18000,Petrol,Dealer,Automatic,1,15.04,1991,183,5
599000,2014,46100,Petrol,Dealer,Manual,1,16.02,1373,93.7,7
2700000,2017,16000,Petrol,Dealer,Automatic,1,14.74,1991,181.04,5
875000,2017,18000,Petrol,Dealer,Automatic,1,15.6,1497,116.3,5
894999,2019,9654,Petrol,Dealer,Automatic,1,19.56,1197,81.8,5
175000,2011,11000,Petrol,Dealer,Manual,1,23.95,998,67.05,5
340000,2012,24300,Petrol,Dealer,Manual,1,21.21,1197,81.8,5
1525000,2016,42163,Diesel,Dealer,Automatic,2,11.36,2755,171.5,7
1025000,2018,8000,Diesel,Dealer,Automatic,1,21.5,1497,108.5,5
2150000,2016,30000,Diesel,Dealer,Automatic,1,22.69,1995,190,5
1900000,2016,41000,Petrol,Dealer,Automatic,1,19.16,2494,157.7,5
2900000,2016,12000,Diesel,Dealer,Automatic,1,18.12,1995,190,5
450000,2009,71000,Petrol,Dealer,Automatic,1,12.1,2362,164.7,5
850000,2016,20000,Petrol,Individual,Manual,1,17.5,1373,91.1,7
10000000,2017,30000,Petrol,Individual,Automatic,1,42,1969,400,4
300000,2011,100000,Diesel,Individual,Manual,2,20.54,1598,103.6,5
575000,2018,9500,Petrol,Individual,Manual,1,18.16,1196,86.8,5
160000,2011,120000,Diesel,Individual,Manual,1,20,1399,68,5
515000,2015,36600,Petrol,Individual,Manual,1,20.4,1197,81.8,5
390000,2015,50000,Petrol,Individual,Automatic,2,20.51,998,67,5
550000,2016,14000,Petrol,Individual,Manual,2,18.6,1197,81.83,5
40000,1999,40000,Petrol,Individual,Manual,2,16.1,796,37,4
220000,2010,120000,Diesel,Individual,Manual,1,21.1,1248,73.9,5
425000,2015,70000,Petrol,Individual,Manual,1,18.9,1197,82,5
480000,2019,13000,Petrol,Individual,Manual,1,19.44,999,75,5
400000,2014,60000,Petrol,Individual,Manual,2,18.9,1197,82,5
487000,2014,35000,Petrol,Individual,Manual,1,19.1,1197,85.8,5
386000,2016,44000,Petrol,Individual,Manual,2,19.1,1197,82,5
100000,2005,120000,Petrol,Individual,Manual,2,13,1493,100,5
300000,2010,60000,Diesel,Individual,Manual,1,21.43,1364,87.2,5
100000,2000,60000,Petrol,Individual,Manual,1,18.5,796,53,5
1750000,2014,30000,Diesel,Individual,Manual,2,13,2982,168.5,7
450000,2016,15000,Petrol,Individual,Manual,2,18.15,1198,82,6
490000,2017,90000,Diesel,Individual,Manual,1,22.95,1248,74,5
345000,2009,47000,Petrol,Individual,Manual,2,17,1497,118,5
85000,2005,90000,Petrol,Individual,Manual,1,17.3,993,60,5
215000,2010,120600,Petrol,Individual,Manual,2,18.9,998,67.1,5
320000,2010,100000,Petrol,Individual,Manual,3,16.2,1599,103.2,5
459999,2016,60000,Petrol,Individual,Manual,2,20.85,1197,83.14,5
65000,2005,86000,Petrol,Individual,Manual,1,15.3,1341,83,5
720000,2020,5000,Petrol,Individual,Manual,1,18.6,1197,81.86,5
800000,2017,37000,Diesel,Individual,Manual,1,28.09,1248,88.5,5
520000,2019,14000,Petrol,Individual,Manual,1,20.3,1199,84,5
580000,2015,70000,Diesel,Individual,Manual,1,20.77,1248,88.76,7
600000,2015,50000,Petrol,Individual,Manual,1,17.4,1497,117.3,5
290000,2014,60000,Petrol,Individual,Manual,2,19.4,1198,86.8,5
550000,2017,50000,Petrol,Individual,Manual,1,20.85,1197,83.14,5
375000,2013,70000,Petrol,Individual,Manual,1,18.5,1197,82.85,5
420000,2018,35000,Petrol,Individual,Automatic,1,20.51,998,67,5
550000,2017,20000,Petrol,Individual,Manual,1,21.21,1197,81.8,5
270000,2018,20000,Petrol,Individual,Manual,1,24.7,796,47.3,5
700000,2018,7800,Petrol,Individual,Automatic,1,22,1197,81.8,5
500000,2017,20000,Petrol,Individual,Manual,1,20.4,1197,81.8,5
1250000,2019,15000,Diesel,Individual,Manual,1,17.6,2179,147.94,7
320000,2013,31377,Petrol,Individual,Manual,2,18.5,1197,82.85,5
700000,2018,50000,Diesel,Individual,Manual,1,28.4,1248,74.02,5
290000,2015,60000,Petrol,Individual,Manual,1,20.51,998,67.04,5
550000,2012,100000,Petrol,Individual,Automatic,1,14.53,1794,138.1,5
265000,2012,60000,Petrol,Individual,Manual,1,19.4,1198,86.8,5
830000,2018,5000,Petrol,Individual,Automatic,1,21.4,1197,83.1,5
800000,2017,60000,Diesel,Individual,Manual,1,14.1,2179,147.94,7
160000,2011,25000,Petrol,Individual,Manual,2,19.7,796,46.3,5
335000,2018,30000,Petrol,Individual,Manual,1,25.17,799,53.3,5
329000,2017,80000,Petrol,Individual,Manual,2,20.63,1198,67,5
775000,2017,75000,Diesel,Individual,Manual,1,24.3,1248,88.5,5
524000,2020,32000,Petrol,Individual,Manual,1,20.14,1197,81.86,5
245000,2015,40000,Petrol,Individual,Manual,1,22.74,796,47.3,5
275000,2012,93000,Petrol,Individual,Manual,2,17,1197,80,5
520000,2018,60000,Petrol,Individual,Manual,1,17.57,1193,88.7,5
550000,2014,37000,Petrol,Individual,Manual,1,16.95,1498,97.7,5
910000,2018,15000,Petrol,Individual,Manual,1,17,1497,121.36,5
300000,2015,80000,Petrol,Individual,Manual,1,19.49,1198,67.04,5
350000,2016,140000,Petrol,Individual,Manual,1,20.51,998,67.04,5
900000,2013,70000,Diesel,Individual,Manual,1,12.83,2696,162,7
300000,2013,120000,Diesel,Individual,Manual,2,17.21,1493,100,7
250000,2010,110000,Diesel,Individual,Manual,2,21.1,1248,73.9,5
1100000,2017,37000,Diesel,Individual,Manual,1,19.67,1582,126.2,5
270000,2016,44000,Petrol,Individual,Manual,1,25.17,799,53.3,5
640000,2015,80000,Diesel,Individual,Manual,1,20.77,1248,88.76,7
650000,2015,125000,Diesel,Individual,Manual,1,15.1,2179,140,7
409999,2017,13500,Petrol,Individual,Manual,1,15.37,1196,73,5
165000,2011,75000,Petrol,Individual,Manual,1,17.92,1086,62.1,5
80000,2007,120000,Petrol,Individual,Manual,2,13.2,1495,94,5
535000,2012,120000,Diesel,Individual,Manual,1,15.1,2179,140,7
700000,2013,70000,Diesel,Individual,Manual,1,12.99,2494,100.57,7
550000,2013,70000,Diesel,Individual,Manual,1,23.4,1248,74,5
680000,2019,15000,Petrol,Individual,Automatic,1,19,1199,88.76,5
200000,2009,53000,Petrol,Individual,Manual,2,20.36,1197,78.9,5
500000,2014,120000,Diesel,Individual,Manual,2,23.4,1248,74,5
1000000,2016,70000,Diesel,Individual,Manual,1,24.52,1248,88.5,7
110000,2008,120000,Petrol,Individual,Manual,2,14.2,1341,82.9,5
320000,2012,100000,Petrol,Individual,Manual,2,18.5,1197,80,5
350000,2015,100000,Petrol,Individual,Manual,1,20.4,1197,83.11,5
170000,2013,162500,Diesel,Individual,Manual,1,19.4,1405,70,5
800000,2017,39000,Diesel,Individual,Manual,1,22.54,1396,88.73,5
500000,2017,75000,Diesel,Individual,Manual,1,26.8,1248,74,5
1380000,2017,50000,Diesel,Individual,Automatic,1,17.6,2179,153.86,7
1300000,2019,40000,Diesel,Individual,Manual,1,17.3,1497,121,8
530000,2013,92500,Diesel,Individual,Manual,1,22.32,1582,126.3,5
360000,2012,158000,Diesel,Individual,Manual,1,23.4,1248,74,5
310000,2012,120000,Diesel,Individual,Manual,1,19.3,1248,73.9,5
725000,2015,50000,Diesel,Individual,Manual,2,26,1498,98.6,5
340000,2012,110000,Diesel,Individual,Manual,1,19.3,1248,73.9,5
550000,2017,2000,Diesel,Individual,Manual,2,25.4,1186,73.97,5
1150000,2011,181000,Diesel,Individual,Manual,2,11.5,2982,171,7
380000,2016,70000,Diesel,Individual,Manual,1,27.28,1047,69,5
350000,2013,90000,Petrol,Individual,Automatic,2,17.97,1498,99.6,5
610000,2019,2000,Petrol,Individual,Manual,1,18.6,1197,81.86,5
525000,2015,20000,Petrol,Individual,Manual,1,20.85,1197,83.14,5
480000,2011,120000,Diesel,Individual,Manual,1,12.8,2494,102,7
780000,2017,35000,Diesel,Individual,Manual,1,16.55,2498,105,6
320000,2012,193000,Diesel,Individual,Manual,1,19.3,1248,73.9,5
375000,2014,80000,Petrol,Individual,Manual,1,20.4,1197,81.8,5
300000,2019,40000,Petrol,Individual,Manual,1,19.02,1198,67.05,5
500000,2015,70000,Diesel,Individual,Manual,4,22.54,1396,88.73,5
404000,2011,122358,Diesel,Individual,Manual,1,12.05,2179,120,9
500000,2015,75000,Diesel,Individual,Manual,1,14.07,2956,69.01,7
350000,2017,120000,Diesel,Individual,Manual,1,27.28,1047,69,5
380000,2015,40000,Petrol,Individual,Manual,1,17.57,1193,88.7,5
114999,2008,95200,Petrol,Individual,Manual,3,13.2,1495,94,5
335000,2014,33033,Petrol,Dealer,Manual,1,19.4,1198,86.8,5
465000,2015,63063,Petrol,Dealer,Automatic,1,18.9,1197,82,5
290000,2012,60000,Diesel,Individual,Manual,1,21.02,1248,88.76,5
110000,2005,45000,Petrol,Individual,Manual,2,19.7,796,46.3,5
450000,2011,80000,Diesel,Individual,Manual,3,11.57,2179,138.1,7
400000,2009,170000,Diesel,Individual,Manual,2,13.6,2523,63,7
210000,2007,207890,Diesel,Individual,Manual,2,13.6,2523,63,7
4600000,2018,7976,Diesel,Individual,Automatic,1,17.9,2143,170,5
220000,2016,35000,Petrol,Individual,Manual,1,16.8,796,34.2,8
450000,2017,35000,Petrol,Individual,Manual,1,18.9,1197,82,5
450000,2017,35000,Petrol,Individual,Manual,1,18.9,1197,82,5
290000,2013,50000,Petrol,Individual,Automatic,1,16.95,1197,78.9,5
520000,2016,20000,Petrol,Individual,Manual,1,20.4,1197,81.8,5
265000,2011,20000,Petrol,Individual,Automatic,1,16.95,1197,78.9,5
330000,2012,50000,Petrol,Individual,Manual,2,18.6,1197,85.8,5
330000,2012,50000,Petrol,Individual,Manual,2,18.6,1197,85.8,5
509999,2014,120000,Diesel,Individual,Manual,1,15.96,2523,62.1,7
500000,2014,70000,Petrol,Individual,Manual,1,17.1,1591,121.3,5
525000,2015,50000,Petrol,Individual,Manual,1,17.19,1197,81.86,5
675000,2019,16500,Petrol,Individual,Manual,1,21.01,1197,81.8,5
300000,2010,70000,Petrol,Individual,Manual,1,17,1197,80,5
90000,2005,99361,Petrol,Individual,Manual,2,19.7,796,46.3,5
650000,2017,25000,Diesel,Individual,Manual,1,26.59,1248,74,5
409000,2014,70000,Petrol,Individual,Manual,2,19.1,1197,85.8,5
395000,2015,80000,Diesel,Individual,Manual,2,24,1120,70,5
400000,2014,70000,Petrol,Individual,Manual,2,19.1,1197,85.8,5
120000,2012,60000,Petrol,Individual,Manual,3,18.6,1199,79.4,5
645000,2018,10000,Petrol,Individual,Automatic,1,20.3,1199,84,5
81000,2006,80000,Petrol,Individual,Manual,1,16.1,796,37,4
1300000,2017,30000,Diesel,Individual,Manual,1,25.6,1498,97.9,5
1250000,2017,33000,Diesel,Individual,Manual,1,25.6,1498,97.9,5
535000,2013,90000,Petrol,Individual,Manual,3,16.02,1373,93.7,7
555000,2014,80100,Diesel,Individual,Manual,2,19.01,1461,108.5,5
725000,2014,120000,Petrol,Individual,Manual,1,17.4,1497,117.3,5
229999,2016,40000,Petrol,Individual,Manual,1,25.17,799,53.3,5
800000,2013,160000,Diesel,Individual,Manual,2,12.99,2494,100.6,8
409999,2017,47000,Petrol,Individual,Manual,1,20.51,998,67.04,5
1210000,2018,25000,Diesel,Individual,Manual,1,21.38,1396,88.7,5
400000,2017,26000,Petrol,Individual,Manual,1,23.84,1199,84,5
520000,2018,29000,Diesel,Individual,Manual,1,24,1186,73.97,5
650000,2016,50000,Petrol,Individual,Automatic,1,21.4,1197,83.1,5
325000,2011,58000,Petrol,Individual,Manual,3,16.1,1298,88.2,5
420000,2012,120000,Petrol,Individual,Automatic,1,17.4,1197,85.8,5
400000,2014,50000,Petrol,Individual,Manual,1,20.4,1197,81.8,5
254999,2010,80000,Petrol,Individual,Manual,4,17,1197,80,5
65000,2003,60000,Petrol,Individual,Manual,4,17.3,993,60,5
351000,2017,36000,Petrol,Individual,Manual,1,23.1,998,67.04,5
404000,2007,120000,Diesel,Individual,Manual,3,12.8,2494,102,8
185000,2011,185000,Diesel,Individual,Manual,3,21.1,1248,73.9,5
250000,2011,50000,Diesel,Individual,Manual,1,23.08,1461,63.1,5
60000,2002,100000,Petrol,Individual,Manual,4,17.3,993,60,5
500000,2013,50000,Petrol,Individual,Manual,2,17.1,1591,121.3,5
85000,2007,80000,Petrol,Individual,Manual,2,18.2,998,67.1,5
85000,2005,80000,Petrol,Individual,Manual,4,19.7,796,46.3,5
265000,2011,90000,Diesel,Individual,Manual,4,19.3,1248,73.9,5
130000,2010,162000,Petrol,Individual,Manual,2,19,998,66.1,5
480000,2013,110000,Diesel,Individual,Manual,3,20.77,1248,88.76,7
170000,2008,120000,Diesel,Individual,Manual,3,17.8,1248,75,5
275000,2011,45000,Diesel,Individual,Manual,1,23.08,1461,63.1,5
89000,2005,90000,Petrol,Individual,Manual,2,18.9,998,67.1,5
170000,2010,90000,Diesel,Individual,Manual,2,20,1399,68,5
1090000,2019,16500,Petrol,Dealer,Manual,1,17,1197,110,5
1100000,2017,67000,Diesel,Individual,Automatic,1,17.01,1582,126.2,5
610000,2018,52000,Petrol,Dealer,Manual,1,22,1197,81.8,5
335000,2016,40000,Petrol,Dealer,Manual,1,20.63,1198,67,5
434999,2015,40000,Petrol,Dealer,Manual,1,18.9,1197,82,5
3000000,2018,35000,Diesel,Individual,Manual,1,14.24,2755,174.5,7
390000,2018,13000,Petrol,Dealer,Manual,1,20.71,799,53.26,5
325000,2012,40000,Petrol,Dealer,Manual,1,18.5,1198,86.8,5
640000,2019,10000,Petrol,Dealer,Manual,1,17,1198,73.75,5
450000,2012,9000,Petrol,Dealer,Manual,1,16.95,1498,97.7,5
400000,2013,70000,Diesel,Dealer,Manual,2,23.59,1364,67.06,5
215000,2009,60000,Petrol,Dealer,Manual,1,20.36,1197,78.9,5
570000,2014,40000,Diesel,Dealer,Manual,1,20.45,1461,83.8,5
680000,2012,93000,Diesel,Dealer,Manual,1,15.1,2179,140,7
325000,2008,80000,Diesel,Individual,Manual,4,12.8,2494,102,7
150000,2011,50000,Petrol,Individual,Manual,2,15.64,1193,64.08,5
690000,2013,68000,Petrol,Dealer,Automatic,1,14.5,1797,147.5,5
1550000,2013,25000,Diesel,Individual,Automatic,1,14.84,2143,170,5
64000,2012,18000,Petrol,Dealer,Manual,1,25.4,624,37.5,4
250000,2013,120000,Diesel,Individual,Manual,1,23.08,1461,63.1,5
65000,2005,35000,Petrol,Individual,Manual,1,18.9,998,67.1,5
550000,2016,60000,Diesel,Individual,Manual,2,26.59,1248,74,5
140000,2010,70000,Petrol,Individual,Manual,4,20.36,1197,78.9,5
300000,2016,30000,Petrol,Individual,Manual,1,25.17,799,53.3,5
800000,2016,70000,Petrol,Individual,Automatic,1,16.34,1798,189.3,5
2625000,2017,9000,Diesel,Dealer,Automatic,1,13.6,1999,177,5
5150000,2019,20000,Petrol,Dealer,Automatic,1,22.37,2487,214.56,5
3200000,2017,45000,Diesel,Dealer,Automatic,1,19.33,1999,177,5
503000,2015,110000,Diesel,Individual,Manual,1,14.1,2179,147.94,7
3800000,2019,20000,Diesel,Individual,Automatic,1,18,1969,190,5
2000000,2016,68089,Petrol,Trustmark Dealer,Automatic,1,19.16,2494,157.7,5
225000,2013,58343,Petrol,Trustmark Dealer,Manual,1,21.79,998,67.05,5
740000,2018,38817,Diesel,Dealer,Manual,1,27.39,1248,74,5
550000,2016,56494,Petrol,Trustmark Dealer,Manual,1,18.2,1199,88.7,5
750000,2013,79328,Diesel,Trustmark Dealer,Manual,2,12.99,2494,100.6,7
650000,2019,5621,Petrol,Trustmark Dealer,Automatic,1,22,1197,81.8,5
625000,2017,25538,Petrol,Trustmark Dealer,Manual,1,16.78,1496,88.73,5
600000,2018,69779,Petrol,Dealer,Automatic,1,22,1197,81.8,5
450000,2017,56290,Diesel,Dealer,Manual,1,24,1186,73.97,5
5400000,2019,7500,Diesel,Dealer,Automatic,1,16.78,1995,190,5
5500000,2019,8500,Diesel,Dealer,Automatic,1,16.78,1995,190,5
779000,2019,7032,Petrol,Trustmark Dealer,Automatic,1,19,1199,88.76,5
645000,2016,11000,Petrol,Dealer,Automatic,1,14.3,1598,103.5,5
2475000,2018,2000,Diesel,Dealer,Automatic,1,16.8,1984,150,5
150000,2010,106000,Petrol,Individual,Manual,3,20.36,1197,78.9,5
500000,2009,120000,Petrol,Individual,Automatic,2,11.1,2354,158.8,5
480000,2015,90000,Diesel,Individual,Manual,1,26.59,1248,74,5
535000,2014,70000,Diesel,Individual,Manual,3,22.32,1582,126.32,5
250000,2005,240000,Diesel,Individual,Manual,3,12.8,2494,102,8
300000,2012,100000,Diesel,Individual,Manual,2,21.5,1248,88.8,5
340000,2009,214000,Petrol,Individual,Manual,2,13.9,1599,103.2,5
